,time,wheel freq,motor current,motor rpm,motor torque,bamocar dc voltage,pack current,pack voltage,tractive voltage,left thermistor,right thermistor,middle thermistor,motor temperature,igbt temperature,pack power,real torque,motor power (w),controller efficiency
174715,371.12664,44.44979476928711,85.0,330.0,7938.2686567158,479.0,5.628700127472094,509.5752524411358,508.9761299168743,37.27331644127728,37.27331644127728,36.73930708696003,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
174716,371.12895,44.44979476928711,85.0,330.0,7890.0,479.0,5.546587802268855,509.5975183788182,508.9983958545568,38.24876460443844,37.19828634905552,36.66427699473827,35.4667,33.34041917558216,3468.043412551488,51.85,1791.8073699749384,0.516662324205648
174717,371.13075,44.44979476928711,84.13875598085959,332.0356676816046,7877.55110917788,479.0,5.482604172239308,509.6148684601295,509.015745935868,39.00885408223883,37.1398213421285,36.60581198781127,35.4667,33.34041917558216,3468.043412551488,51.85,1802.8604740801472,0.5198494538895514
174718,371.13453,44.44979476928711,82.33014354066472,336.3105698129743,7851.408438451426,479.0,5.348238549177259,509.6513036308832,509.0521811066217,37.746232118577,37.26200329728088,36.72799394296363,35.4667,33.34041917558216,3468.043412551488,51.85,1826.071992701086,0.5265424262257488
174719,371.13462,44.44979476928711,82.2870813397077,336.41235319705453,7850.78599391032,479.0,5.345039367675781,509.65217113494873,509.05304861068726,37.71616969087077,37.26491239145117,36.73090303713392,35.4667,33.34041917558216,2720.9085850594965,51.85,1826.6246479063464,0.6713289295848962
174720,371.13488,44.44979476928711,82.16267942581977,336.706394084426,7848.987820791395,479.0,5.3372175532947175,509.65217113494873,509.0555551274804,37.62932267748876,37.27331644127728,36.73930708696003,35.4667,33.34041917558216,2720.9085850594965,51.85,1828.2212073883652,0.6719157039773861
174721,371.13498,44.44979476928711,82.11483253587961,336.81948673337547,7848.296215745896,479.0,5.334209163149207,509.65217113494873,509.0565191724005,37.61957815738633,37.28414388154872,36.74905195934619,35.4667,33.34041917558216,2720.9085850594965,51.85,1828.8352687273882,0.6721413864359571
174722,371.13899,44.44979476928711,80.19617224880064,341.3545019573803,7820.562853414482,479.0,5.213572718284134,509.65217113494873,509.0951773737065,37.228822901181374,37.71832423654163,37.1398213421285,35.4667,33.34041917558216,2720.9085850594965,51.85,1853.4591284283595,0.6811912530269115
174723,371.1431,44.44979476928711,78.2296650717543,346.00260983039897,7792.137886037176,479.0,5.089927883271839,509.65217113494873,509.1347996199332,38.697341386123234,37.09531332317152,36.33880731065265,35.4667,33.34041917558216,2720.9085850594965,51.85,1878.6970494687027,0.6904668020765653
174724,371.14722,107.29962921142578,76.25837320572481,350.6620269682868,7763.643758155476,479.0,4.965982209245677,509.65217113494873,509.1745182706516,38.51933826801749,37.36231800033014,36.78381510591701,35.4667,33.34041917558216,2720.9085850594965,51.85,1903.9963766428089,0.6997649193720249
174725,371.15134,107.29962921142578,74.28708133969533,355.3214441061747,7735.149630273778,479.0,4.842036535219516,509.65217113494873,509.21423692137006,39.05334762233473,36.87281666496988,36.2052977326428,35.4667,33.34041917558216,2720.9085850594965,51.85,1929.2957038169152,0.7090630366674845
174726,371.15194,107.29962921142578,74.0,356.0,7731.0,479.0,4.823986194343032,509.65217113494873,509.2200211908918,38.93021545172507,36.99594883557954,36.34139340391874,35.4667,33.34041917558216,2720.9085850594965,45.14,1682.8297096121132,0.6184807967649217
174727,371.15546,107.29962921142578,74.0,356.0,7725.638816362001,479.0,4.718090861193355,509.65217113494873,509.2539555720885,38.207840050762975,37.71832423654163,37.1398213421285,35.46380496083548,33.35159055599772,2720.9085850594965,45.14,1682.8297096121132,0.6184807967649217
174728,371.15656,107.29962921142578,74.0,356.0,7723.9634464751325,479.0,4.684998569584187,509.65217113494873,509.2645600662124,38.13637894495303,37.6111345153872,37.0326277458531,35.46290026109657,33.35508161237757,2720.9085850594965,45.14,1682.8297096121132,0.6184807967649217
174729,371.15689,107.29962921142578,74.0,356.0,7723.460835509132,479.0,4.675070882102634,509.65217113494873,509.2677414144492,38.11494061321263,37.57897759904475,37.000469666974354,35.462628851174934,33.356128929291394,2720.9085850594965,45.14,1682.8297096121132,0.6184807967649217
